graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Off-1}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 19:54:16.758518800,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 19:54:16.758518800,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 19:54:16.758518800,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,edge-left,$\mu_1$: NodeCount,2016523.0,2026-04-28 19:54:16.760536192,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,edge-left,$\mu_2$: EdgeCount,3339267.0,2026-04-28 19:54:16.760536192,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,edge-left,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 19:54:16.760536192,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,edge-left,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 19:54:16.760536192,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 19:56:15.800754172,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 19:56:15.800754172,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 19:56:15.800754172,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 19:56:15.800754172,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,all,$\mu_1$: NodeCount,2021602.0,2026-04-28 19:58:11.926525854,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,all,$\mu_2$: EdgeCount,4854231.0,2026-04-28 19:58:11.926525854,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,all,$\mu_3$: AvgNodePropCount,8.595673629131408,2026-04-28 19:58:11.926525854,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,all,$\mu_4$: AvgEdgePropCount,2.2363861546760946,2026-04-28 19:58:11.926525854,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:00:05.798828912,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:00:05.798828912,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:00:05.798828912,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:00:05.798828912,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,node-left,$\mu_1$: NodeCount,2021602.0,2026-04-28 20:02:02.181263510,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,node-left,$\mu_2$: EdgeCount,4854231.0,2026-04-28 20:02:02.181263510,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,node-left,$\mu_3$: AvgNodePropCount,8.595673629131408,2026-04-28 20:02:02.181263510,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,node-left,$\mu_4$: AvgEdgePropCount,2.2363861546760946,2026-04-28 20:02:02.181263510,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 20:04:01.527189042,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 20:04:01.527189042,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 20:04:01.527189042,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-2}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 20:04:01.527189042,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
