,scenario,queryNo,database,query,state,dbhits,mode,time,memory,plot_category,type
43,S_Nw,1,neo4j,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" WITH DISTINCT c SET c.OshipCountry = ""Rainbow""",after,62,update,0.525633,560.0,update $S_\text{Nw}$; Query 1; Neo4j,direct + naive
44,S_Nw,2,memgraph,PROFILE MATCH (:Order)-->(o:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE o.OcustomerID IS NOT NULL AND o.OshipCity IS NOT NULL AND o.OshipPostalCode IS NOT NULL AND o.OshipCountry IS NOT NULL AND o.OshipAddress IS NOT NULL AND o.OshipRegion IS NOT NULL RETURN DISTINCT o.OcustomerID,after,2765,retrieval,0.7585153,,retrieval $S_\text{Nw}$; Query 2; Memgraph,direct + naive
45,S_Nw,2,memgraph,PROFILE MATCH (o:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE o.OcustomerID IS NOT NULL AND o.OshipCity IS NOT NULL AND o.OshipPostalCode IS NOT NULL AND o.OshipCountry IS NOT NULL AND o.OshipAddress IS NOT NULL AND o.OshipRegion IS NOT NULL RETURN DISTINCT o.OcustomerID,after,362,retrieval,0.23715139999999998,,retrieval $S_\text{Nw}$; Query 2; Memgraph,direct + optimal
46,S_Nw,2,memgraph,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,2790,retrieval,1.4386966,,retrieval $S_\text{Nw}$; Query 2; Memgraph,original
47,S_Nw,2,neo4j,PROFILE MATCH (:Order)-->(o:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE o.OcustomerID IS NOT NULL AND o.OshipCity IS NOT NULL AND o.OshipPostalCode IS NOT NULL AND o.OshipCountry IS NOT NULL AND o.OshipAddress IS NOT NULL AND o.OshipRegion IS NOT NULL RETURN DISTINCT o.OcustomerID,after,3559,retrieval,1.732818,328.0,retrieval $S_\text{Nw}$; Query 2; Neo4j,direct + naive
48,S_Nw,2,neo4j,PROFILE MATCH (o:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE o.OcustomerID IS NOT NULL AND o.OshipCity IS NOT NULL AND o.OshipPostalCode IS NOT NULL AND o.OshipCountry IS NOT NULL AND o.OshipAddress IS NOT NULL AND o.OshipRegion IS NOT NULL RETURN DISTINCT o.OcustomerID,after,980,retrieval,0.9670202,312.0,retrieval $S_\text{Nw}$; Query 2; Neo4j,direct + optimal
49,S_Nw,2,neo4j,PROFILE MATCH (o:Order) WHERE o.customerID IS NOT NULL AND o.shipCity IS NOT NULL AND o.shipPostalCode IS NOT NULL AND o.shipCountry IS NOT NULL AND o.shipAddress IS NOT NULL AND o.shipRegion IS NOT NULL RETURN DISTINCT o.customerID,before,10791,retrieval,4.562901800000001,6360.0,retrieval $S_\text{Nw}$; Query 2; Neo4j,original
50,S_Off-1,1,memgraph,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,15306,update,4.071903000000001,,update $S_\text{Off-1}$; Query 1; Memgraph,direct + naive
51,S_Off-1,1,memgraph,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" WITH DISTINCT c SET c.EcountryCodes = ""Sp""",after,15310,update,1.9685131000000002,,update $S_\text{Off-1}$; Query 1; Memgraph,direct + naive
52,S_Off-1,1,memgraph,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,1030373,retrieval,170.2131831,,retrieval $S_\text{Off-1}$; Query 1; Memgraph,direct + naive
53,S_Off-1,1,memgraph,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,866,update,0.7124117,,update $S_\text{Off-1}$; Query 1; Memgraph,direct + optimal
54,S_Off-1,1,memgraph,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,3438,retrieval,1.1124443,,retrieval $S_\text{Off-1}$; Query 1; Memgraph,direct + optimal
55,S_Off-1,1,memgraph,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,2026155,update,336.0444669,,update $S_\text{Off-1}$; Query 1; Memgraph,original
56,S_Off-1,1,memgraph,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,3027613,retrieval,923.4102665,,retrieval $S_\text{Off-1}$; Query 1; Memgraph,original
57,S_Off-1,1,neo4j,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,24071,update,8.1403973,328.0,update $S_\text{Off-1}$; Query 1; Neo4j,direct + naive
58,S_Off-1,1,neo4j,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" WITH DISTINCT c SET c.EcountryCodes = ""Sp""",after,14447,update,2.9257094,560.0,update $S_\text{Off-1}$; Query 1; Neo4j,direct + naive
59,S_Off-1,1,neo4j,"PROFILE MATCH (:Entity)-[]->(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,1031379,retrieval,89.1859902,536.0,retrieval $S_\text{Off-1}$; Query 1; Neo4j,direct + naive
60,S_Off-1,1,neo4j,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL AND c.Ecountries = ""Singapore"" SET c.EcountryCodes = ""Sp""",after,6,update,0.2776605,328.0,update $S_\text{Off-1}$; Query 1; Neo4j,direct + optimal
61,S_Off-1,1,neo4j,"PROFILE MATCH (c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes",after,2575,retrieval,2.1219547,544.0,retrieval $S_\text{Off-1}$; Query 1; Neo4j,direct + optimal
62,S_Off-1,1,neo4j,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL AND e.countries = ""Singapore"" SET e.country_codes = ""Sp""",before,33692,update,18.2715496,43432.0,update $S_\text{Off-1}$; Query 1; Neo4j,original
63,S_Off-1,1,neo4j,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.jurisdiction_description IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries, e.country_codes",before,2524955,retrieval,406.9697238,600.0,retrieval $S_\text{Off-1}$; Query 1; Neo4j,original
64,S_Off-1,2,memgraph,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,2702775,retrieval,797.3572985,,retrieval $S_\text{Off-1}$; Query 2; Memgraph,original
65,S_Off-1,2,memgraph,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,1030567,retrieval,283.41448809999997,,retrieval $S_\text{Off-1}$; Query 2; Memgraph,indirect
66,S_Off-1,2,neo4j,"PROFILE MATCH (e:Entity) WHERE e.countries IS NOT NULL AND e.service_provider IS NOT NULL AND e.country_codes IS NOT NULL RETURN DISTINCT e.countries,e.service_provider, e.country_codes",before,1715964,retrieval,254.31107860000003,108432.0,retrieval $S_\text{Off-1}$; Query 2; Neo4j,original
67,S_Off-1,2,neo4j,"PROFILE MATCH (e:Entity)-[]-(c:EcountriesecountryCodes) WHERE c.Ecountries IS NOT NULL AND c.EcountryCodes IS NOT NULL RETURN DISTINCT c.Ecountries, c.EcountryCodes, e.service_provider",after,1716575,retrieval,282.81373270000006,1160.0,retrieval $S_\text{Off-1}$; Query 2; Neo4j,indirect
68,S_Ts-2,1,memgraph,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL AND s.name = ""Innsbruck Hbf"" SET t.code = ""Rainbow""",before,194278,update,30.6025254,,update $S_\text{Ts-2}$; Query 1; Memgraph,original
69,S_Ts-2,1,memgraph,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL RETURN DISTINCT t.code, s.name",before,5675074,retrieval,1075.6674906,,retrieval $S_\text{Ts-2}$; Query 1; Memgraph,original
70,S_Ts-2,1,memgraph,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,5673812,retrieval,301.3897987,,retrieval $S_\text{Ts-2}$; Query 1; Memgraph,direct + optimal
71,S_Ts-2,1,memgraph,"PROFILE MATCH (n:Snametcode) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,7,update,0.06581949999999996,,update $S_\text{Ts-2}$; Query 1; Memgraph,direct + optimal
72,S_Ts-2,1,memgraph,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,21532367,retrieval,2122.5144479,,retrieval $S_\text{Ts-2}$; Query 1; Memgraph,direct + naive
73,S_Ts-2,1,memgraph,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,226,update,0.11208319999999998,,update $S_\text{Ts-2}$; Query 1; Memgraph,direct + naive
74,S_Ts-2,1,memgraph,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" WITH DISTINCT n  SET n.Tcode = ""Rainbow""",after,230,update,0.08655759999999998,,update $S_\text{Ts-2}$; Query 1; Memgraph,direct + naive
75,S_Ts-2,1,neo4j,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL AND s.name = ""Innsbruck Hbf"" SET t.code = ""Rainbow""",before,123,update,0.9034285000000001,1040.0,update $S_\text{Ts-2}$; Query 1; Neo4j,original
76,S_Ts-2,1,neo4j,"PROFILE MATCH ()-[t:STOPS_AT]->(s:Station) WHERE s.name IS NOT NULL AND t.code IS NOT NULL RETURN DISTINCT t.code, s.name",before,3654287,retrieval,377.66354190000004,496.0,retrieval $S_\text{Ts-2}$; Query 1; Neo4j,original
77,S_Ts-2,1,neo4j,"PROFILE MATCH (n:Snametcode) RETURN DISTINCT n.Sname, n.Tcode",after,2169,retrieval,1.6635014000000001,104080.0,retrieval $S_\text{Ts-2}$; Query 1; Neo4j,direct + optimal
78,S_Ts-2,1,neo4j,"PROFILE MATCH (n:Snametcode) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,4,update,0.37565550000000003,312.0,update $S_\text{Ts-2}$; Query 1; Neo4j,direct + optimal
79,S_Ts-2,1,neo4j,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) RETURN DISTINCT n.Sname, n.Tcode",after,14623422,retrieval,1.4677422,319224.0,retrieval $S_\text{Ts-2}$; Query 1; Neo4j,direct + naive
80,S_Ts-2,1,neo4j,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" SET n.Tcode = ""Rainbow""",after,2989,update,0.0007092,46572.0,update $S_\text{Ts-2}$; Query 1; Neo4j,direct + naive
81,S_Ts-2,1,neo4j,"PROFILE MATCH (s:Station)-->(n:Snametcode), (t:STOPS_AT)-->(n), (t)-->(s) WHERE n.Sname = ""Innsbruck Hbf"" WITH DISTINCT n  SET n.Tcode = ""Rainbow""",after,2960,update,0.0007210000000000001,46572.0,update $S_\text{Ts-2}$; Query 1; Neo4j,direct + naive
82,S_Ts-2,2,memgraph,"PROFILE MATCH (ts:TrainService)-->(t:STOPS_AT)-->(s:Station), (ts)-->(d:Tsdatetsnumbertstype), (s)-->(n:Snametcode), (t)-->(n) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, d.Tstype, n.Tcode",after,191562509,retrieval,8231.405401,,retrieval $S_\text{Ts-2}$; Query 2; Memgraph,direct + naive
83,S_Ts-2,2,memgraph,"PROFILE MATCH (ts:TrainService)-[t:STOPS_AT]->(s:Station) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.type, t.code",before,200599,retrieval,81.38909129999999,,retrieval $S_\text{Ts-2}$; Query 2; Memgraph,original
84,S_Ts-2,2,neo4j,"PROFILE MATCH (ts:TrainService)-->(t:STOPS_AT)-->(s:Station), (ts)-->(d:Tsdatetsnumbertstype), (s)-->(n:Snametcode), (t)-->(n) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, d.Tstype, n.Tcode",after,637897,retrieval,0.0446726,267360.0,retrieval $S_\text{Ts-2}$; Query 2; Neo4j,indirect
85,S_Ts-2,2,neo4j,"PROFILE MATCH (ts:TrainService)-[t:STOPS_AT]->(s:Station) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.type, t.code",before,589524,retrieval,62.8343834,30952.0,retrieval $S_\text{Ts-2}$; Query 2; Neo4j,original
86,S_Ts-2,3,memgraph,"PROFILE MATCH (ts:TrainService) WHERE ts.type CONTAINS ""Nightjet"" RETURN DISTINCT ts.number, ts.completely_cancelled",before,194463,retrieval,78.9387825,,retrieval $S_\text{Ts-2}$; Query 3; Memgraph,original
87,S_Ts-2,3,memgraph,"PROFILE MATCH (ts:TrainService)-->(d:Tsdatetsnumbertstype) WHERE d.Tstype CONTAINS ""Nightjet"" RETURN DISTINCT d.Tsnumber, ts.completely_cancelled",after,9712778,retrieval,1042.6697171,,retrieval $S_\text{Ts-2}$; Query 3; Memgraph,indirect
